"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target"
317,606.517,609.088,607.232,-2.279,-0.934,-4.057,-8795722.157,-3804987.740,-5007137.176,-0.958,9863361.434,605.150
318,606.061,608.713,607.164,0.031,-1.152,-2.090,-3137167.305,-2663565.822,-4574773.911,0.522,10734715.315,617.780
319,609.967,609.576,607.512,1.809,1.315,-0.284,7369915.470,293352.925,-3494155.716,0.989,12956489.676,615.990
320,611.975,610.187,607.790,1.458,1.722,-1.593,3160952.303,-235249.643,-3551953.038,-0.457,11614106.541,621.130
321,615.027,611.229,608.227,3.479,2.409,-0.113,6279850.736,979312.000,-3025080.886,0.453,12718014.984,625.040
322,618.364,612.545,608.779,3.287,3.374,-0.846,8162329.447,2021976.273,-2534839.320,0.703,14862704.888,633.980
323,623.570,614.586,609.605,2.622,3.254,1.304,11917006.545,3679536.698,-1814799.974,0.590,16143713.993,633.490
324,626.876,616.387,610.388,2.841,4.203,0.602,7693010.623,3257201.659,-1780051.818,0.415,16783513.731,639.980
325,631.244,618.634,611.358,3.035,5.588,1.080,10471321.792,4473462.846,-1196183.099,0.004,16793471.945,646.050
326,636.180,621.245,612.496,3.361,5.927,0.906,11857761.995,5440813.280,-677270.787,0.691,18459030.147,642.590
327,638.316,623.278,613.482,1.358,5.462,0.452,5667321.630,4283254.006,-875181.879,-0.555,17381633.608,649.330
328,641.988,625.759,614.658,2.500,5.003,1.079,7870443.613,5044533.394,-443973.045,0.968,19144520.765,647.020
329,643.665,627.784,615.719,1.100,4.653,0.173,3700183.329,4122164.762,-581558.756,-0.490,18160899.496,655.760
330,647.697,630.448,617.032,1.503,5.360,-1.450,9863182.859,5842833.063,165022.906,0.246,18786304.928,648.410
331,647.934,632.159,618.060,0.906,4.372,-2.973,1860883.489,3939352.271,-304116.050,-0.331,18149041.946,641.240
332,645.703,633.024,618.820,-1.246,4.394,-2.696,-4285676.557,1985242.850,-837712.136,-0.962,15925658.243,646.920
333,646.109,634.347,619.742,-0.015,6.936,-0.477,1467895.575,3031890.182,-384835.022,0.908,18000688.812,642.620
334,644.946,635.135,620.492,-2.004,5.903,3.239,-1952364.650,1905721.108,-660508.795,-0.145,17704173.565,635.150
335,641.681,635.136,620.972,-2.045,4.613,1.927,-5355973.713,565824.637,-1037645.944,0.025,17745395.641,632.320
336,638.560,634.868,621.344,-1.391,5.343,1.016,-5758910.795,-113281.039,-1218863.616,-0.046,17639149.290,630.840
337,635.987,634.485,621.656,-2.486,4.245,0.191,-4916484.464,-410266.826,-1284856.016,0.106,17869681.869,626.860
338,632.945,633.758,621.826,-2.452,1.470,0.299,-6574526.456,-1313156.694,-1567011.899,-0.536,16538479.283,635.960
339,633.950,633.968,622.290,0.128,3.242,1.174,2291128.629,718804.782,-859161.056,0.983,18701295.912,651.010
340,639.636,635.591,623.231,2.956,4.811,2.860,30406272.120,8901448.050,2009551.080,0.669,22553915.232,624.600
341,634.624,634.544,623.276,-0.989,-0.070,-2.341,-51590867.560,-12478227.661,-5124701.313,-0.917,15070886.943,606.070
342,625.106,631.832,622.712,-3.317,-4.402,3.427,-69560503.953,-21337422.812,-8415687.393,-0.602,11644530.503,609.570
343,619.927,629.712,622.281,-4.150,-3.776,4.107,-42845186.302,-18297149.306,-7792699.314,-0.521,10070022.840,607.450
344,615.768,627.592,621.795,-6.691,-5.083,4.565,-30450526.068,-17093726.096,-7722814.275,-0.071,9880236.074,599.300
345,610.279,624.898,621.057,-4.051,-7.236,5.235,-29253905.395,-18023910.663,-8350284.759,-0.965,6699018.726,596.060
346,605.539,622.151,620.238,-1.652,-7.241,4.922,-22806281.477,-17251255.708,-8401456.853,-0.965,3748131.617,597.600
347,602.893,619.813,619.496,-1.964,-7.967,3.038,-14075915.378,-15285915.467,-8015021.651,0.794,5493157.211,601.270
348,602.352,618.047,618.898,-1.017,-7.071,4.082,-7018869.582,-13154378.565,-7519603.826,-0.151,5200358.368,609.720
349,604.808,617.254,618.597,1.739,-7.021,5.104,450021.912,-10436075.378,-6768541.245,0.615,6320503.447,615.470
350,608.362,617.084,618.495,3.256,-5.080,5.964,4313002.858,-8295595.366,-6151901.704,0.390,7137816.088,614.980
351,610.568,616.884,618.379,2.908,-4.095,5.105,2608056.735,-7581903.951,-5976489.698,0.427,7836084.065,604.850
352,608.662,615.738,617.936,0.595,-6.503,1.429,-6389651.406,-9182205.259,-6580049.632,-0.452,6748403.466,604.430
353,607.251,614.661,617.493,-0.868,-5.943,-0.765,-4540106.964,-8387806.480,-6391884.663,-0.257,6234196.426,607.260
354,607.254,613.956,617.158,-1.334,-4.391,0.081,-1506618.570,-7154647.937,-6032794.732,0.773,7480372.053,611.020
355,608.509,613.676,616.956,-0.644,-3.369,0.192,1337048.660,-5804264.027,-5604690.540,-0.296,6927541.206,596.970
356,604.663,612.085,616.301,-1.303,-5.369,-2.370,-9446436.893,-8205134.882,-6437763.244,-0.971,4783931.675,607.550
357,605.625,611.653,616.014,0.516,-3.080,0.271,736364.971,-5413982.160,-5534821.213,0.612,6004723.451,612.790
358,608.014,611.761,615.908,0.911,-3.643,0.096,5169330.448,-3561673.249,-4893179.160,0.493,7324125.322,609.150
359,608.392,611.513,615.687,-0.306,-6.430,-0.100,619704.485,-4030042.220,-5010765.005,0.008,7341712.834,613.660
360,610.148,611.717,615.620,2.796,-1.752,1.338,2722071.413,-2986532.935,-4619369.259,0.151,7573640.569,605.230
361,608.509,611.099,615.280,-0.382,-0.139,-0.213,-4085515.784,-4387881.244,-5048265.027,-0.906,5671434.806,604.000
362,607.006,610.423,614.910,-1.434,-0.914,-0.106,-3471817.720,-4183742.229,-4956335.734,-0.136,5422607.579,611.110
363,608.374,610.489,614.785,0.322,0.603,-0.471,2667998.284,-2361706.751,-4303746.684,0.308,6071062.364,628.930
364,615.226,612.245,615.249,2.488,4.944,3.453,30512964.082,6073017.290,-1336315.787,0.835,10109081.550,623.050
365,617.834,613.274,615.505,2.944,4.528,2.795,13767120.775,3616104.611,-1939209.231,-0.781,7489247.396,600.400
366,612.023,612.048,615.010,-0.596,0.469,-1.558,-35941693.433,-9619650.290,-6313639.153,-0.793,2751174.236,614.110
367,612.718,612.244,614.980,0.491,2.135,0.788,-9904590.426,-4687339.254,-4724024.243,0.799,5207524.610,600.800
368,608.746,611.154,614.515,-4.473,-1.463,-2.844,-20147085.577,-8110647.504,-5901337.412,-0.461,3800278.059,609.460
369,608.984,610.993,614.349,-2.181,-0.976,-1.422,-4257517.531,-4717098.355,-4805502.790,0.978,6906992.418,603.660
370,607.209,610.295,613.999,0.543,-1.841,-3.011,-6496569.354,-5313057.845,-5007770.665,-0.266,6403859.701,591.530
371,601.983,608.508,613.262,-3.677,-2.202,-4.784,-18816174.689,-8945660.466,-6268348.196,-0.517,4552693.873,594.340
372,599.435,607.158,612.642,-1.075,-1.669,-3.241,-10102553.356,-7396103.344,-5822674.835,0.114,4849287.835,588.230
373,595.700,605.356,611.841,-3.483,-3.134,-2.765,-10618203.301,-7801189.044,-6013718.388,0.123,5083914.820,580.860
374,590.753,603.023,610.826,-3.777,-4.936,-4.275,-14373763.317,-9142493.263,-6534084.452,-0.662,3118675.511,570.980
375,584.162,599.971,609.519,-3.474,-4.354,-5.956,-19654556.318,-11149507.459,-7310545.366,0.223,3801461.893,578.590
376,582.305,597.935,608.505,-2.650,-4.767,-3.608,-6929333.725,-8323734.229,-6463605.798,0.637,5352768.236,570.410
377,578.340,595.313,607.256,-3.029,-6.916,-5.741,-11001256.437,-9354340.670,-6879392.554,-0.324,4594020.118,580.570
378,579.083,593.909,606.381,-0.050,-4.692,-6.023,-235131.731,-6435154.160,-5955572.546,0.665,5988125.606,578.230
379,578.799,592.416,605.458,1.270,-5.774,-6.130,-1529189.448,-6214406.610,-5895301.475,-0.816,4552717.922,580.450
380,579.349,591.276,604.638,0.321,-4.094,-6.549,24211.208,-5324366.693,-5599356.754,0.829,5721432.426,568.500
381,575.733,589.107,603.453,-0.335,-5.877,-9.046,-10588564.044,-7847199.822,-6458857.010,-0.806,3576469.587,565.100
382,572.189,586.821,602.196,-2.665,-7.529,-10.865,-10713070.296,-8143855.344,-6606503.757,0.113,3939598.208,561.090
383,568.489,584.370,600.848,-2.964,-10.787,-11.429,-9754704.888,-8114723.794,-6646879.833,-0.421,3117347.668,559.050
384,565.343,581.959,599.478,-3.687,-10.272,-12.646,-8097809.352,-7797513.745,-6585802.405,-0.408,2160105.161,564.510
385,565.065,580.297,598.331,-0.702,-5.978,-12.621,66030.452,-5493587.668,-5832375.767,0.997,5154534.032,570.850
386,566.993,579.397,597.430,1.018,-7.044,-11.164,5322839.555,-3462154.770,-5121922.209,0.551,6530362.866,581.530
387,571.839,579.600,596.909,3.643,-3.207,-10.442,10941358.943,-1020197.390,-4226829.752,0.507,7583563.596,577.510
388,573.729,579.401,596.273,3.302,-5.242,-10.743,4149663.975,-1821485.826,-4397547.660,0.233,8129559.586,565.210
389,570.890,578.050,595.254,0.124,-6.369,-13.808,-5479977.550,-4004131.042,-5064489.068,-0.816,6487791.473,571.480
390,571.086,577.424,594.475,0.110,-3.390,-11.864,1005552.884,-2291679.157,-4440190.615,1.000,8716916.473,560.700
391,567.624,575.831,593.368,-3.582,-5.660,-12.560,-5014414.104,-3697647.626,-4853769.548,-0.376,8121811.684,564.680
392,566.643,574.769,592.427,-2.222,-4.004,-12.713,-1550415.743,-2833340.140,-4518315.433,0.461,8744252.032,569.300
393,567.529,574.248,591.669,0.724,-1.990,-11.410,1572756.345,-1818821.982,-4113809.992,-0.177,8444835.613,564.310
394,566.456,573.302,590.772,-1.255,-1.168,-11.153,-2148528.890,-2559038.875,-4293393.250,0.574,9548637.334,580.070
395,570.994,573.946,590.421,3.455,0.256,-8.263,11819506.447,1470924.553,-2849164.713,0.985,12033026.895,580.470
396,574.153,574.568,590.095,2.796,1.764,-7.985,8100412.698,1393905.567,-2734037.175,0.222,12399797.775,587.830
397,578.712,575.831,590.020,3.255,1.250,-6.226,8321029.798,2095653.989,-2357109.267,0.889,13457661.007,595.920
398,584.448,577.744,590.214,5.602,3.059,-6.296,11873466.229,3703528.761,-1657586.370,0.281,14117445.663,585.980
399,584.959,578.528,590.075,1.019,0.953,-9.989,751130.713,1303807.896,-2307945.516,-0.409,13232305.791,586.010
400,585.309,579.241,589.942,0.954,3.080,-6.178,517904.008,1184535.773,-2230588.267,0.295,13738645.029,581.700
401,584.106,579.475,589.671,-1.043,2.938,-4.021,-2417462.211,282370.970,-2429198.312,-0.568,12647204.083,571.190
402,579.801,578.686,589.066,-4.150,1.800,-6.296,-13876622.294,-3248801.737,-3555944.022,-0.032,12536019.895,570.480
403,576.694,577.905,588.456,-2.645,2.045,-6.086,-9797803.776,-3095598.404,-3493131.652,0.705,14165293.509,576.520
404,576.636,577.773,588.065,-1.619,2.128,-3.801,-2552399.077,-1663788.049,-2987179.456,0.504,15161031.219,574.920
405,576.064,577.501,587.634,-1.166,0.713,-3.547,-2481791.918,-1728244.197,-2965979.395,-0.152,14937949.851,576.730
406,576.286,577.428,587.276,0.970,-0.825,-3.492,-639981.919,-1273779.218,-2768942.757,0.358,15539586.650,580.760
407,577.777,577.745,587.063,1.802,0.563,-3.411,1656788.221,-557197.531,-2473228.945,0.225,15888345.248,593.060
408,582.872,579.204,587.259,2.869,4.927,-2.732,20270537.181,4971872.243,-506957.993,0.131,16502640.495,610.820
409,592.188,582.215,588.032,6.244,6.884,-0.756,51779079.614,15431328.647,3273472.252,0.713,21109593.676,615.510
410,599.962,585.386,588.933,6.724,9.775,0.086,40087695.216,15552623.673,3713847.799,0.717,23664887.983,607.570
411,602.498,587.498,589.544,4.616,7.595,0.450,21399536.591,12549823.260,3068253.423,-0.525,22609192.062,607.990
412,604.329,589.450,590.149,2.517,6.796,0.589,14521573.947,11427520.917,2992758.185,-0.346,21978775.681,613.360
413,607.339,591.727,590.910,0.416,8.692,1.005,12701647.448,11202213.635,3191742.981,-0.026,21934368.181,634.960
414,616.546,595.845,592.354,3.160,9.463,3.918,34029017.765,17438551.231,5601317.257,0.995,25468312.814,632.300
415,621.797,599.316,593.664,4.070,8.929,5.918,20747122.770,15223768.522,5226957.110,-0.573,24216375.600,632.970
416,625.522,602.522,594.952,4.109,7.679,4.184,14248130.613,13892947.358,5096569.870,0.147,24491301.421,632.680
417,627.908,605.394,596.189,3.150,6.169,3.246,9320446.662,12518864.634,4911930.817,-0.680,23236640.329,628.750
418,628.188,607.618,597.257,-0.978,7.299,3.218,3622857.208,10586370.698,4496053.686,-0.269,22703665.049,641.330
419,632.569,610.829,598.702,1.428,9.440,4.509,10371861.699,11851465.934,5131260.800,0.369,23404568.584,642.820
420,635.986,613.876,600.148,1.556,10.507,6.211,7799879.819,10975699.279,5050101.956,-0.291,22885259.309,640.540
421,637.504,616.415,601.473,1.242,12.141,6.050,3693071.679,9499866.529,4736310.266,0.045,22974340.599,642.230
422,639.079,618.874,602.809,2.144,12.577,5.092,3206991.900,8807958.511,4654294.596,0.012,22990489.139,642.350
423,640.170,621.110,604.105,0.159,11.419,2.134,2180806.120,7981337.182,4505905.743,-0.658,22286526.516,642.000
424,640.780,623.099,605.348,-0.128,11.668,3.041,1286523.147,7173396.232,4341710.708,0.921,23608247.799,660.010
425,647.190,626.614,607.140,3.040,14.440,9.928,20477013.674,12095738.946,6129129.857,0.979,26808387.582,668.660
426,654.347,630.619,609.157,4.115,15.135,8.883,24210622.350,13960700.922,6966792.474,0.395,28254749.579,667.540
427,658.744,634.135,611.071,3.922,12.559,11.109,15240270.900,12373926.358,6649834.295,-0.322,27477971.549,672.870
428,663.453,637.824,613.097,4.808,10.158,10.404,13211944.943,12067389.851,6731980.483,0.532,28391346.922,677.140
429,668.015,641.568,615.197,2.595,10.013,12.172,11907835.269,11803792.334,6816165.251,0.960,30482911.910,675.540
430,670.524,644.804,617.176,1.029,11.187,14.202,7000732.313,10411671.769,6500439.387,-0.072,30355490.098,669.510
431,670.186,647.157,618.892,0.295,10.119,12.648,199316.825,8143558.824,5847850.747,-0.073,30194010.266,677.180
432,672.517,650.016,620.803,0.641,10.405,15.122,5014224.397,8762652.225,6136250.379,0.508,31163750.533,676.800
433,673.945,652.567,622.639,-0.050,6.589,16.517,3116785.551,7863533.714,5912829.313,0.224,31562805.424,678.630
434,675.506,655.049,624.474,0.457,7.327,18.854,2949709.904,7363726.562,5804722.077,0.429,32175348.424,669.220
435,673.411,656.399,625.941,-0.043,5.727,15.664,-6233184.301,4319659.964,4807879.625,0.564,33650406.668,677.250
436,674.691,658.385,627.624,0.010,7.045,18.730,1355634.513,5482861.124,5192318.724,0.943,35591051.646,688.010
437,679.130,661.206,629.604,1.656,9.425,18.506,11631609.049,8025784.647,6077277.393,0.847,38125512.905,681.680
438,679.980,663.156,631.311,0.449,6.292,17.891,4319950.592,6280151.222,5540207.107,-0.584,37175078.253,685.090
439,681.684,665.245,633.074,2.371,6.576,18.027,5297799.145,6372850.748,5596380.521,0.183,37563639.728,681.040
440,681.469,666.749,634.647,0.560,6.323,19.796,980888.547,5037061.853,5161976.811,0.311,38151884.471,680.720
441,681.219,668.080,636.158,-1.060,5.993,20.460,471721.004,4505283.193,4974809.896,-0.571,37177114.118,699.400
442,687.280,671.063,638.231,2.599,8.881,24.650,19271256.003,9492430.127,6676302.228,0.935,40024759.303,706.150
443,693.570,674.404,640.458,3.074,9.992,26.312,20129197.002,10668872.877,7173639.171,0.163,40553045.519,700.770
444,695.970,676.915,642.435,2.897,6.176,24.138,8828411.181,8341060.178,6486858.855,-0.670,38838049.179,692.190
445,694.710,678.370,644.067,1.685,3.519,21.256,525956.014,6015344.512,5746996.128,-0.753,37426234.767,690.880
446,693.433,679.561,645.602,-1.218,3.496,18.804,-803149.524,5112801.168,5445082.793,0.426,38550560.654,706.040
447,697.635,682.083,647.583,-0.016,4.930,22.256,12902906.424,8465393.277,6588359.368,0.679,40357042.078,709.680
448,701.650,684.712,649.619,1.271,4.806,25.560,11779504.736,8567041.666,6684895.171,-0.109,40072857.086,709.980
449,704.427,687.118,651.598,2.570,5.098,24.235,8003833.857,7794227.422,6480554.086,0.264,40470988.883,718.280
450,709.045,690.086,653.784,3.966,7.284,28.104,11055278.138,8686031.163,6830639.746,0.936,42405989.631,727.500
451,715.196,693.649,656.201,3.039,7.431,28.834,16893775.439,10579815.818,7543430.903,0.826,44964078.804,728.120
452,719.504,696.932,658.559,2.598,7.583,27.897,11863473.453,9743916.166,7355215.774,0.358,46005869.017,733.990
453,724.333,700.461,661.032,3.382,8.158,30.069,20354118.008,12371677.210,8338172.868,0.613,49901599.317,749.380
454,732.682,705.120,663.929,4.330,11.978,29.188,31862155.816,16419920.469,9864076.427,0.933,53229593.728,749.160
455,738.175,709.315,666.724,2.977,10.618,29.061,20796961.457,14729125.447,9496945.159,-0.826,48223876.979,753.460
456,743.270,713.519,669.567,3.480,9.513,28.177,21997853.038,15650126.471,9985557.980,0.231,49535926.540,756.500
457,747.680,717.612,672.418,3.067,10.976,26.947,18649937.652,15298124.605,10050100.567,-0.133,49012326.425,754.500
458,749.953,721.125,675.109,0.683,10.132,28.759,10577231.101,13310857.309,9538025.728,-0.178,48516997.352,761.780
459,753.895,724.997,677.951,1.685,11.855,29.994,14740324.921,14239967.333,9981582.674,0.267,49364087.335,756.990
460,754.927,728.044,680.542,0.469,11.204,30.134,5371584.531,11610837.468,9216091.561,-0.145,48959376.457,762.500
461,757.451,731.326,683.229,0.793,9.022,33.493,7637589.984,11664053.032,9312927.933,0.758,50632816.245,768.050
462,760.984,734.823,686.010,1.796,8.766,34.632,9632544.256,11850567.296,9454223.830,0.649,52226249.778,767.650
463,763.206,737.950,688.687,0.771,9.544,33.152,6056662.704,10617646.563,9108344.347,-0.435,51035415.655,757.840
464,761.417,739.844,690.954,0.112,9.484,31.817,-2366928.614,7776526.771,8179739.246,-0.217,50609627.611,744.090
465,755.642,740.248,692.696,-2.414,7.702,29.019,-15345754.076,3102247.555,6557341.074,-0.834,48104525.840,744.560
466,751.948,740.659,694.397,-3.058,5.456,28.204,-9910714.247,2898163.541,6373800.888,0.357,48833526.911,751.480
467,751.792,741.690,696.268,-2.106,5.890,26.712,-1108079.485,4193308.922,6705715.286,-0.710,47140634.803,744.750
468,749.445,741.981,697.858,-1.727,4.897,21.926,-6137945.160,2251310.309,5954784.408,-0.879,45024360.626,740.980
469,746.623,741.886,699.272,-0.418,3.160,20.385,-7887219.927,952540.808,5386241.658,0.566,46733372.670,744.700
470,745.982,742.154,700.761,0.019,2.364,22.570,-2705646.298,1591108.441,5460709.176,0.565,47896514.607,755.490
471,749.151,743.424,702.556,0.534,3.759,24.260,6442741.471,3795718.781,6092801.236,0.894,49946933.588,695.000
472,731.101,738.812,702.308,-6.680,-5.312,13.310,-246584008.866,-68245541.059,-18783602.396,-0.544,43172402.837,681.790
473,714.664,733.381,701.635,-7.988,-9.019,7.375,-214954700.537,-76193211.804,-23141388.674,-0.436,38168672.826,678.670
474,702.666,728.171,700.882,-8.867,-9.409,7.334,-147523320.571,-70142483.122,-22797754.968,0.202,38986770.262,680.350
475,695.227,723.616,700.209,-9.946,-9.703,7.485,-96715372.701,-62995530.154,-21889614.705,0.089,39247452.575,677.300
476,689.252,719.205,699.458,-2.547,-10.469,7.053,-67014932.984,-57721103.811,-21421563.520,-0.654,37615101.990,677.760
